subscription_id,customer_id,plan,amount,billing_cycle,status,next_payment_date
SUB_000001,CUST_00245,PRO,1499,YEARLY,ACTIVE,2026-09-24 14:21:58.212583
SUB_000002,CUST_00976,PRO,1499,MONTHLY,ACTIVE,2026-09-19 14:21:58.212583
SUB_000003,CUST_00769,PRO,1499,MONTHLY,CANCELLED,2026-09-07 14:21:58.212583
SUB_000004,CUST_01213,PRO,1499,YEARLY,ACTIVE,2026-09-14 14:21:58.212583
SUB_000005,CUST_00847,BASIC,499,MONTHLY,ACTIVE,2026-09-05 14:21:58.212583
SUB_000006,CUST_00632,ENTERPRISE,19999,YEARLY,ACTIVE,2026-09-23 14:21:58.212583
SUB_000007,CUST_00450,BASIC,499,YEARLY,ACTIVE,2026-09-23 14:21:58.212583
SUB_000008,CUST_00170,ENTERPRISE,19999,YEARLY,ACTIVE,2026-09-27 14:21:58.212583
SUB_000009,CUST_01499,BASIC,499,YEARLY,ACTIVE,2026-09-27 14:21:58.212583
SUB_000010,CUST_00004,BASIC,499,MONTHLY,ACTIVE,2026-09-12 14:21:58.212583
SUB_000011,CUST_00577,BUSINESS,4999,MONTHLY,ACTIVE,2026-09-03 14:21:58.212583
SUB_000012,CUST_01403,PRO,1499,MONTHLY,ACTIVE,2026-09-17 14:21:58.212583
SUB_000013,CUST_01471,PRO,1499,MONTHLY,ACTIVE,2026-09-07 14:21:58.212583
SUB_000014,CUST_00126,BUSINESS,4999,YEARLY,ACTIVE,2026-09-06 14:21:58.212583
SUB_000015,CUST_00004,ENTERPRISE,19999,YEARLY,ACTIVE,2026-09-09 14:21:58.218266
SUB_000016,CUST_01348,BASIC,499,MONTHLY,ACTIVE,2026-09-27 14:21:58.218266
SUB_000017,CUST_01803,ENTERPRISE,19999,YEARLY,ACTIVE,2026-09-12 14:21:58.219018
SUB_000018,CUST_00240,BASIC,499,YEARLY,PAST_DUE,2026-09-16 14:21:58.219018
SUB_000019,CUST_00905,PRO,1499,MONTHLY,ACTIVE,2026-09-29 14:21:58.219018
SUB_000020,CUST_00652,PRO,1499,YEARLY,CANCELLED,2026-09-29 14:21:58.219018
SUB_000021,CUST_00530,BASIC,499,YEARLY,CANCELLED,2026-09-06 14:21:58.219018
SUB_000022,CUST_00701,BASIC,499,YEARLY,CANCELLED,2026-09-01 14:21:58.219018
SUB_000023,CUST_01445,BUSINESS,4999,MONTHLY,PAST_DUE,2026-09-21 14:21:58.219018
SUB_000024,CUST_01776,BUSINESS,4999,MONTHLY,PAST_DUE,2026-09-16 14:21:58.219018
SUB_000025,CUST_01283,ENTERPRISE,19999,MONTHLY,ACTIVE,2026-09-02 14:21:58.219018
SUB_000026,CUST_01601,PRO,1499,YEARLY,PAST_DUE,2026-09-24 14:21:58.219018
