transaction_id,order_id,customer_id,amount,currency,payment_method,bank,status,failure_reason,retry_count,created_at,is_recoverable,optimal_action,recovery_probability,expected_outcome
TXN_98f23c96f74b,ORDER_0000001,CUST_01109,66685.54,INR,WALLET,KOTAK,SUCCESS,,0,2026-08-30 07:33:41.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_05d1e55bcf45,ORDER_0000002,CUST_00654,647.05,INR,WALLET,SBI,FAILED,INSUFFICIENT_FUNDS,0,2026-07-10 12:36:46.122833,False,DO_NOT_CONTACT,0.466,NON_RECOVERABLE
TXN_a39328468187,ORDER_0000003,CUST_01338,4477.9,INR,UPI,KOTAK,SUCCESS,,0,2026-07-27 21:25:51.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_fe77a2aa08ea,ORDER_0000004,CUST_00542,965.74,INR,CARD,KOTAK,SUCCESS,,0,2026-06-12 17:25:55.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_c362b69f51fc,ORDER_0000005,CUST_01083,84382.73,INR,UPI,KOTAK,SUCCESS,,0,2026-07-20 00:54:58.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_29eb180131f7,ORDER_0000006,CUST_01138,2790.99,INR,WALLET,KOTAK,SUCCESS,,0,2026-06-30 03:42:27.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_a9eab8f3e28d,ORDER_0000007,CUST_01744,3619.95,INR,CARD,ICICI,SUCCESS,,0,2026-06-08 04:14:25.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_2b6277b72cbb,ORDER_0000008,CUST_00328,1099.42,INR,NETBANKING,SBI,SUCCESS,,0,2026-07-10 13:42:21.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_b51016476e1b,ORDER_0000009,CUST_00004,1996.7,INR,NETBANKING,AXIS,SUCCESS,,0,2026-08-13 18:00:46.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_4a69a93f2a27,ORDER_0000010,CUST_00275,161.89,INR,NETBANKING,AXIS,FAILED,INSUFFICIENT_FUNDS,0,2026-08-26 02:39:29.122833,True,PAYMENT_LINK,0.473,RECOVERABLE
TXN_7bc0bf1cd9b2,ORDER_0000011,CUST_01751,4889.81,INR,WALLET,ICICI,SUCCESS,,0,2026-06-18 00:21:06.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_19020bfeb828,ORDER_0000012,CUST_00216,62874.28,INR,WALLET,ICICI,SUCCESS,,0,2026-08-11 04:33:52.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_7e42d8158c6b,ORDER_0000013,CUST_00589,716.35,INR,UPI,AXIS,SUCCESS,,0,2026-07-15 20:59:40.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_0254df3e7c3b,ORDER_0000014,CUST_01024,82680.92,INR,NETBANKING,KOTAK,SUCCESS,,0,2026-07-04 12:44:14.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_cbc903f87fea,ORDER_0000015,CUST_01503,51418.41,INR,NETBANKING,HDFC,SUCCESS,,0,2026-06-06 09:26:19.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_5d242fa4e8b0,ORDER_0000016,CUST_01930,3591.21,INR,CARD,ICICI,SUCCESS,,0,2026-07-06 06:25:29.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_84c091788063,ORDER_0000017,CUST_01426,36770.39,INR,UPI,HDFC,SUCCESS,,0,2026-08-21 13:05:41.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_0b3b4c39548d,ORDER_0000018,CUST_00378,32422.13,INR,WALLET,AXIS,FAILED,AUTHENTICATION_FAILED,0,2026-08-12 18:56:49.122833,False,DO_NOT_CONTACT,0.222,NON_RECOVERABLE
TXN_5e924f6494cb,ORDER_0000019,CUST_01404,69317.2,INR,WALLET,ICICI,SUCCESS,,0,2026-07-27 19:20:03.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_cd099c76dd07,ORDER_0000020,CUST_00752,185.98,INR,NETBANKING,KOTAK,SUCCESS,,0,2026-06-29 04:18:34.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_92b8a55db6e9,ORDER_0000021,CUST_01810,894.3,INR,NETBANKING,KOTAK,FAILED,NETWORK_TIMEOUT,0,2026-08-09 08:55:30.122833,True,RETRY,0.88,RECOVERABLE
TXN_e803e4b8cf19,ORDER_0000022,CUST_01420,9120.11,INR,WALLET,HDFC,FAILED,UPI_TIMEOUT,0,2026-08-15 13:37:44.122833,True,RETRY,0.84,RECOVERABLE
TXN_3f42f279eac6,ORDER_0000023,CUST_01855,597.54,INR,CARD,AXIS,SUCCESS,,0,2026-07-21 13:41:23.122833,False,NONE,0.0,NO_RECOVERY_NEEDED
TXN_4b301da9b28a,ORDER_0000024,CUST_00456,3934.12,INR,NETBANKING,AXIS,FAILED,CUSTOMER_CANCELLED,0,2026-06-22 17:34:36.122833,False,DO_NOT_CONTACT,0.054,NON_RECOVERABLE
